"mpg","cyl","disp","hp","wt","acc","yr","origin","car_type","car_name"
16,8,400,"180",4220,11.1,77,1,0,"pontiac grand prix lj"
15.5,8,350,"170",4165,11.4,77,1,0,"chevrolet monte carlo landau"
15.5,8,400,"190",4325,12.2,77,1,0,"chrysler cordoba"
16,8,351,"149",4335,14.5,77,1,0,"ford thunderbird"
19.4,8,318,"140",3735,13.2,78,1,0,"dodge diplomat"
20.2,8,302,"139",3570,12.8,78,1,0,"mercury monarch ghia"
19.2,8,305,"145",3425,13.2,78,1,0,"chevrolet monte carlo landau"
18.1,8,302,"139",3205,11.2,78,1,0,"ford futura"
17.5,8,318,"140",4080,13.7,78,1,0,"dodge magnum xe"
17,8,305,"130",3840,15.4,79,1,0,"chevrolet caprice classic"
17.6,8,302,"129",3725,13.4,79,1,0,"ford ltd landau"
16.5,8,351,"138",3955,13.2,79,1,0,"mercury grand marquis"
18.2,8,318,"135",3830,15.2,79,1,0,"dodge st. regis"
16.9,8,350,"155",4360,14.9,79,1,0,"buick estate wagon (sw)"
15.5,8,351,"142",4054,14.3,79,1,0,"ford country squire (sw)"
18.5,8,360,"150",3940,13,79,1,0,"chrysler lebaron town @ country (sw)"
23,8,350,"125",3900,17.4,79,1,0,"cadillac eldorado"
26.6,8,350,"105",3725,19,81,1,0,"oldsmobile cutlass ls"
